section,set,number_in_set,question,answer
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,1,alat,tool
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,2,andal,"superior, reliable"
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,3,angka,"digit, numerical number"
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,4,bahan,"ingredient, material"
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,5,bahkan,"and even more than that, moreover, in fact"
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,6,baik ... maupun ...,"... as well as ..., neither ... nor ..., either ... or ..."
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,7,berguna,useful
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,8,berhasil,successful
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,9,berkembang,"developing, growing"
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,10,berkreasi,to produce a creation
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,11,berpisah,to separate from one another
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,12,berpusat,"centered, to be centralized"
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,13,bersekolah,to attend school (i.e. to be enrolled as student at such-and-such a school)
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,14,bertahap,"to have stages/steps, gradual"
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,15,bidang,field of study
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,16,budaya,culture
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,17,"capai, mencapai","to reach, to achieve"
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,18,"cari, mencari","to seek, to look for"
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,19,"dapat, mendapat","to obtain, to get"
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,20,demikian,"thus, like that, so"
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,21,diakses,to be accessed
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,22,dibandingkan,to be compared
